"아이디","geometry","관리번호","관할경찰서","구","동","시설명","시설구분","주소","x좌표","y좌표"
"2600","MULTIPOINT(949257.001511463 1960693.89618773)","0","은평경찰서","은평구","","동북유치원","유치원","서울특별시 은평구 진관4로 31","126.924813306","37.6443251537"
"2601","MULTIPOINT(949638.323302431 1960772.2111248)","0","은평경찰서","은평구","","진관초등","초등학교","서울특별시 은평구 진관4로 78-16","126.9291301","37.645052"
"2602","MULTIPOINT(949701.844080137 1961106.57770637)","0","은평경찰서","은평구","","하나유치원","유치원","서울특별시 은평구 진관4로 93","126.929827064","37.6480691262"
"2603","MULTIPOINT(949399.934464079 1956511.56518923)","0","서부경찰서","서부구","","유정유치원","유치원","서울특별시 은평구 진흥로12길 23","126.926723","37.6066376"
"2604","MULTIPOINT(948704.518433665 1956244.94418747)","0","은평경찰서","은평구","","엔젤유치원","유치원","서울특별시 은평구 진흥로7길 25","126.9188633","37.604196"
"2605","MULTIPOINT(950135.530445853 1956498.70423811)","0","서부경찰서","서부구","","어울초등학교","초등학교","서울특별시 은평구 통일로 650","126.935057489","37.6065618716"
"2606","MULTIPOINT(949360.234369484 1957479.6716325)","0","은평경찰서","은평구","","바다의별유치원","유치원","서울특별시 은평구 통일로 790-1","126.9262062","37.615361"
"2607","MULTIPOINT(949353.25997338 1957088.08168145)","0","은평경찰서","은평구","","대은초등","초등학교","서울특별시 은평구 통일로69길 12-15","126.9261543","37.6118312"
"2608","MULTIPOINT(949480.217860716 1957743.89970585)","0","은평경찰서","은평구","","은혜유치원","유치원","서울특별시 은평구 통일로78가길 20","126.9275474","37.6177491"
"2609","MULTIPOINT(949147.629694966 1957742.92798962)","0","은평경찰서","은평구","","성모자애어린이집","어린이집","서울특별시 은평구 통일로78길 10","126.923779","37.617722"
"2610","MULTIPOINT(954579.227650459 1953515.35183262)","0","종로경찰서","종로구","","재동초등학교","초등학교","서울특별시 종로구 북촌로4길 7","126.9855858","37.5799027"
