학교명,주소
서울신목초등학교,서울특별시 양천구 신목로5길 11-6
서울신남초등학교,서울특별시 양천구 남부순환로83길
서울신기초등학교,서울특별시 양천구 신정로 292
서울신곡초등학교,서울특별시 강서구 등촌로13자길 42-14
서울신강초등학교,서울특별시 양천구 중앙로55길 72
서울수명초등학교,서울특별시 강서구 수명로1길 84
서울송화초등학교,서울특별시 강서구 방화대로34길 2
서울송정초등학교,서울특별시 강서구 공항대로3길 18
서울서정초등학교,서울특별시 양천구 목동로8길 19
서울삼정초등학교,서울특별시 강서구 금낭화로 222
서울백석초등학교,서울특별시 강서구 공항대로 491
서울방화초등학교,서울특별시 강서구 양천로6길 92
서울발산초등학교,서울특별시 강서구 강서로45길 113
서울목원초등학교,서울특별시 양천구 목동중앙로 204
서울목운초등학교,서울특별시 양천구 목동동로 235
서울목동초등학교,서울특별시 양천구 목동동로12길 12
서울등현초등학교,서울특별시 강서구 화곡로65길 124
서울등촌초등학교,서울특별시 강서구 등촌로39길 71
서울등원초등학교,서울특별시 강서구 화곡로65길 90
서울등양초등학교,서울특별시 강서구 강서로56나길 140
서울등서초등학교,서울특별시 강서구 화곡로58길 86
서울등명초등학교,서울특별시 강서구 강서로56나길 34
서울등마초등학교,서울특별시 강서구 등촌로35길 12
서울내발산초등학교,서울특별시 강서구 강서로46길 23
서울남명초등학교,서울특별시 양천구 중앙로23길 3
서울공항초등학교,서울특별시 강서구 마곡서1로 68
서울공진초등학교,서울특별시 강서구 마곡서로 33
서울계남초등학교,서울특별시 양천구 목동동로2길 54
서울경인초등학교,서울특별시 양천구 안양천로 1009
서울개화초등학교,서울특별시 강서구 양천로 11
서울강월초등학교,서울특별시 양천구 신월로 97
서울강신초등학교,서울특별시 양천구 월정로 280
서울강서초등학교,서울특별시 양천구 오목로 31
서울갈산초등학교,서울특별시 양천구 목동로 31
서울가양초등학교,서울 강서구 허준로 186
서울가곡초등학교,서울특별시 강서구 공항대로36길 74
서울대학교사범대학부설초등학교,서울특별시 종로구 대학로 64
운현초등학교,서울특별시 종로구 삼일대로 460
신광초등학교,서울특별시 용산구 청파로 263
숭의초등학교,서울특별시 중구 소파로2길 10
서울흥인초등학교,서울특별시 중구 청구로6길 11
서울후암초등학교,서울특별시 용산구 두텁바위로 140
서울효제초등학교,서울특별시 종로구 대학로 12
서울혜화초등학교,서울특별시 종로구 혜화로 32
서울한남초등학교,서울특별시 용산구 한남대로 112
서울한강초등학교,서울특별시 용산구 한강대로14길 9
서울충무초등학교,서울 중구 퇴계로50길 13
서울청파초등학교,서울특별시 용산구 효창원로 228
서울청운초등학교,서울특별시 종로구 자하문로 105
서울청구초등학교,서울특별시 중구 다산로 170
서울창신초등학교,서울특별시 종로구 지봉로 73
서울재동초등학교,서울특별시 종로구 북촌로4길 7
서울장충초등학교,서울특별시 중구 청구로17길 40
서울이태원초등학교,서울특별시 용산구 녹사평대로40길 19
서울원효초등학교,서울특별시 용산구 효창원로13길 38
서울용암초등학교,서울특별시 용산구 녹사평대로60길 39
서울용산초등학교,서울 용산구 한강대로57길 33
서울신용산초등학교,서울특별시 용산구 이촌로 255
서울신당초등학교,서울특별시 중구 난계로 141
서울세검정초등학교,서울특별시 종로구 세검정로9길 1
서울서빙고초등학교,서울특별시 용산구 서빙고로51길 14
