사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,lat(위도),lon(경도)
2022042100100559,2022년 4월 21일 23시,목요일,경기도 용인시 기흥구 보정동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,21세,상해없음,승용,남,40세,경상,37.31135949065349,127.1036886272262
2022042400100415,2022년 4월 24일 21시,일요일,경기도 용인시 기흥구 상갈동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,62세,기타불명,승용,남,25세,경상,37.28598508133291,127.10361867472427
2022042600100113,2022년 4월 26일 08시,화요일,경기도 용인시 기흥구 신갈동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,55세,상해없음,승용,남,41세,중상,37.267924137663954,127.10182984032149
2022042600100439,2022년 4월 26일 18시,화요일,경기도 용인시 처인구 남사읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,75세,상해없음,승용,남,25세,경상,37.103486804828606,127.1175476759055
2022050100100219,2022년 5월 1일 14시,일요일,경기도 용인시 기흥구 상갈동,경상사고,0,0,8,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,40세,경상,승용,남,29세,경상,37.26169354236136,127.10393773389325
2022050400100298,2022년 5월 4일 12시,수요일,경기도 용인시 기흥구 상갈동,중상사고,0,3,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,60세,상해없음,승용,여,27세,중상,37.26768783941904,127.10394017631144
2022050400100544,2022년 5월 4일 18시,수요일,경기도 용인시 기흥구 상갈동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,37세,상해없음,승용,남,29세,경상,37.26346930135799,127.10393971281272
2022050900100094,2022년 5월 9일 08시,월요일,경기도 용인시 기흥구 상갈동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,기타 - 기타,화물,남,52세,상해없음,승용,남,21세,경상,37.26725411985955,127.1036266498667
2022051200100172,2022년 5월 12일 10시,목요일,경기도 용인시 처인구 남사읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,68세,상해없음,승용,여,56세,경상,37.09720337059693,127.12019001472083
2022051700100474,2022년 5월 17일 18시,화요일,경기도 용인시 처인구 남사읍,경상사고,0,0,5,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,60세,상해없음,화물,남,39세,경상,37.10336911363135,127.11739070933116
2022052300100013,2022년 5월 23일 01시,월요일,경기도 용인시 기흥구 보라동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,19세,경상,화물,남,39세,경상,37.26636280982287,127.1039471159548
2022052400100345,2022년 5월 24일 15시,화요일,경기도 용인시 기흥구 신갈동,경상사고,0,0,2,2,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승용,남,40세,경상,37.2899246673904,127.10376723682658
2022052800100234,2022년 5월 28일 12시,토요일,경기도 용인시 기흥구 상갈동,경상사고,0,0,3,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,40세,상해없음,승용,여,40세,경상,37.26549725782496,127.10388397947143
