영업상태코드,지역구
1,서울특별시 금천구 독산동 1031-25
3,서울특별시 구로구 오류동 55-50번지 
3,서울특별시 구로구 오류동 33-78번지 
1,서울특별시 도봉구 창동 13
3,"서울특별시 도봉구 창동 12-1 2층 201,202,203,204호"
1,서울특별시 금천구 시흥동 883-18번지 지하1층 
3,서울특별시 강남구 신사동 630-19 지하1층
1,서울특별시 은평구 응암동 590-2
1,서울특별시 영등포구 영등포동3가 15-3
1,서울특별시 강북구 수유동 191-66
1,서울특별시 금천구 시흥동 121-9번지 지하1층 
1,서울특별시 금천구 가산동 140-29 지하1층
1,서울특별시 금천구 시흥동 889-19 지하1층 (시흥대로 479)
1,서울특별시 강남구 삼성동 143 지하1층
1,서울특별시 금천구 가산동 140-8 지하1층
1,"서울특별시 금천구 시흥동 999-48 ,49 지하1층"
3,서울특별시 금천구 시흥동 995-4번지 지하1층 (금천로 223) 
1,서울특별시 동작구 노량진동 28-7
1,서울특별시 마포구 서교동 354-6
1,서울특별시 금천구 가산동 141-8 지상1층
1,서울특별시 종로구 관철동 44-3
1,서울특별시 금천구 시흥동 889-4
1,서울특별시 관악구 신림동 1423-19
1,서울특별시 금천구 독산동 162-20
1,서울특별시 강남구 삼성동 37-15
1,서울특별시 종로구 낙원동 121-1번지 지하1층 
1,서울특별시 종로구 종로5가 58번지 
1,서울특별시 종로구 효제동 227 
1,서울특별시 금천구 독산동 950-7 지하1층   (독산동길 3)
3,서울특별시 관악구 신림동 1425-15
1,서울특별시 종로구 숭인동 313-7번지 
1,서울특별시 금천구 시흥동 995-13 지하1층 (건영길 6)
1,서울특별시 영등포구 영등포동3가 22-1 2층
1,서울특별시 영등포구 여의도동 44-12 고려빌딩
1,서울특별시 마포구 서교동 354-12
1,서울특별시 강북구 수유동 45-1 평익타워
1,서울특별시 구로구 오류동 6-306
3,서울특별시 종로구 종로6가 242-1 지하1층
1,서울특별시 관악구 신림동 1655-23
1,서울특별시 영등포구 여의도동 46-1 지하1층
3,서울특별시 영등포구 신길동 65-52
1,서울특별시 영등포구 영등포동3가 13-7 지하1층
1,서울특별시 강동구 길동 387-7 지하1층
1,서울특별시 중구 북창동 122
3,서울특별시 중구 충무로4가 125-3 외4필지(일흥빌딩 지하1층)
1,서울특별시 성동구 도선동 29-0  동  호
1,서울특별시 강남구 역삼동 735-31
3,서울특별시 영등포구 신길동 65-82
1,서울특별시 중구 남대문로5가 63-7
3,서울특별시 동작구 사당동 149-3번지 
3,서울특별시 영등포구 양평동1가 28-2
1,서울특별시 관악구 신림동 1640-38
1,서울특별시 강남구 삼성동 45-10 지상1~2층
3,서울특별시 중랑구 면목동 72-57
1,서울특별시 송파구 방이동 24-8 지하1층
1,서울특별시 관악구 신림동 1640-31
1,서울특별시 영등포구 여의도동 44-24
1,서울특별시 관악구 봉천동 1674-20
1,서울특별시 관악구 신림동 530-4 지상1층
1,서울특별시 강북구 수유동 191-67
1,서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 6층) 601-1호
1,서울특별시 관악구 남현동 1061-25 지하1층
3,서울특별시 송파구 방이동 34-9 지하1층
1,서울특별시 동작구 사당동 147-101
1,서울특별시 중구 오장동 206-37
1,서울특별시 중구 을지로6가 23
1,서울특별시 관악구 신림동 538-35
1,서울특별시 종로구 종로4가 145 안성빌딩 지하1층
1,서울특별시 관악구 남현동 1061-25
1,서울특별시 관악구 신림동 1643
1,서울특별시 중구 광희동1가 145-2
3,서울특별시 관악구 봉천동 858-6번지 
1,서울특별시 구로구 오류동 38-1 204호
1,서울특별시 종로구 종로5가 182-19 (지상1층)
1,서울특별시 용산구 남영동 62-9 (지하1층)
1,서울특별시 관악구 신림동 1431-10
3,서울특별시 종로구 당주동 2-3번지 
3,서울특별시 마포구 동교동 173-14번지 지층 
1,서울특별시 서초구 서초동 1303-36번지 (3층~5층) 
1,서울특별시 서초구 잠원동 6-1 리버사이드호텔
1,서울특별시 서초구 반포동 747-14 지하1층
3,서울특별시 종로구 운니동 37-2번지 
3,서울특별시 종로구 숭인동 200-25번지 (지상2층) 
1,서울특별시 서초구 서초동 1308 삼미빌딩 지하1층 2호
3,서울특별시 종로구 청진동 175-0번지 
3,서울특별시 종로구 청진동 125-1번지 지상2층 
3,서울특별시 종로구 청진동 295-0번지 지하 
1,서울특별시 종로구 관철동 43-12번지 
3,서울특별시 서초구 양재동 11-41번지 
1,서울특별시 종로구 인사동 35-0번지 
3,서울특별시 강남구 역삼동 736-38번지 지하1층 
1,서울특별시 종로구 숭인동 207-30번지 지하1층 
1,서울특별시 강남구 신사동 588-21 지하1층
1,서울특별시 종로구 연지동 275-1번지 
1,"서울특별시 강남구 신사동 587-1 선샤인호텔 지하1층,지하중층"
1,서울특별시 종로구 효제동 245-21번지 지상1층 
1,서울특별시 종로구 견지동 110-13번지 
1,서울특별시 종로구 효제동 155번지 지하1층 
1,서울특별시 종로구 돈의동 50 지하1층
1,서울특별시 강남구 삼성동 142-19 지하2층
1,서울특별시 강남구 역삼동 718-9 
1,서울특별시 종로구 창신동 174-1번지 지상2층 
1,서울특별시 종로구 연지동 255번지 지하1층 
1,서울특별시 종로구 종로5가 4-1 지상2층 
1,서울특별시 종로구 종로5가 4-1 1층 
1,서울특별시 강남구 청담동 53-7 지상2층
1,서울특별시 강남구 청담동 132-17
1,서울특별시 종로구 연지동 254-1 지하1층
1,서울특별시 종로구 종로4가 8 2층 
1,서울특별시 강남구 논현동 204-4 지상1층
1,서울특별시 강남구 역삼동 831-42 .43호
1,서울특별시 종로구 종로4가 8번지 2층 
1,서울특별시 강남구 대치동 890-61 지상4층 
1,서울특별시 종로구 돈의동 50번지 1층 
1,서울특별시 종로구 종로3가 157
1,서울특별시 종로구 창신동 446-5번지 2층 
1,서울특별시 강남구 논현동 18-2 렉스관광호텔
1,서울특별시 종로구 원남동 177-1번지 지하층 
1,"서울특별시 종로구 관철동 32-4번지 지하 1층(관철동 32-4,7) "
1,서울특별시 종로구 창신동 293-5번지 
3,서울특별시 종로구 낙원동 149-0번지 
1,서울특별시 종로구 연지동 246 지하 1층 
1,서울특별시 종로구 종로5가 20-1번지 지하1층 
1,서울특별시 종로구 종로5가 65번지 
3,서울특별시 송파구 방이동 44-5번지 
1,서울특별시 종로구 당주동 18번지 지상3층 
1,서울특별시 강동구 성내동 417-5
1,서울특별시 강동구 길동 459-2
1,서울특별시 종로구 청진동 183-1번지 지하1층 
3,서울특별시 송파구 잠실동 175-8번지 (지하1층) 
1,서울특별시 종로구 종로5가 77-0번지 
1,서울특별시 종로구 평창동 66-50번지 동화킴스관광호텔 지하1층 
1,서울특별시 종로구 창신동 378번지 2층 
1,서울특별시 종로구 종로5가 231-20번지 (3층) 
1,서울특별시 종로구 창신동 436-73번지 (지하1층) 
1,서울특별시 강동구 길동 386-8
1,서울특별시 종로구 종로5가 54번지 (지상1층) 
1,서울특별시 종로구 종로6가 124-1번지 (지상2층) 
1,서울특별시 종로구 낙원동 121-1
3,서울특별시 종로구 관철동 13-3번지 
3,서울특별시 종로구 종로5가 214-3 (2층)
1,서울특별시 종로구 종로5가 244 지상2층
1,서울특별시 종로구 종로5가 332-7번지 지상2층 
3,서울특별시 중구 을지로5가 19-29번지 
3,서울특별시 중구 북창동 19-2번지 
1,서울특별시 종로구 원남동 282 지하1층
1,서울특별시 종로구 장사동 2번지 
1,서울특별시 종로구 종로6가 244-15번지 (지상3층) 
1,서울특별시 종로구 종로5가 38-1번지 지상2층 
1,서울특별시 종로구 효제동 186번지 
1,서울특별시 종로구 종로6가 123-1번지 
1,서울특별시 종로구 낙원동 148  (지하1층) 
1,서울특별시 종로구 공평동 60번지 
1,서울특별시 종로구 관수동 12-0번지 
1,서울특별시 종로구 종로5가 113번지 
1,서울특별시 종로구 낙원동 25번지  (지하1층) 
1,서울특별시 종로구 종로5가 231-20번지 (지상1~2층) 
1,서울특별시 종로구 종로5가 104-9번지 
1,서울특별시 종로구 도렴동 117-1번지 (지상 3층) 
1,서울특별시 종로구 효제동 202번지 지상1층 
1,서울특별시 종로구 연지동 273 1층 
1,서울특별시 종로구 관철동 22-0번지 
1,서울특별시 종로구 종로6가 137-2 지하1층
1,서울특별시 종로구 종로6가 157-0번지 
3,서울특별시 종로구 견지동 92-1번지 지하1층 
1,서울특별시 종로구 교남동 46-0번지 지하1층 
1,서울특별시 종로구 종로5가 40번지 1층 
1,서울특별시 종로구 수송동 58번지 두산위브파빌리온 지하 112호
1,"서울특별시 종로구 종로1가 24번지 르메이에르종로타운 지하2층 B203-1,B203-2 "
1,서울특별시 종로구 인사동 262번지 (지상1층) 
1,서울특별시 종로구 숭인동 201-20번지 지하1층 
1,서울특별시 종로구 숭인동 201-28 지하 1층 
1,서울특별시 종로구 종로5가 246-5번지 
1,서울특별시 종로구 숭인동 1413번지 지하1층 
1,서울특별시 종로구 낙원동 93번지 
1,서울특별시 종로구 청진동 26번지 
1,서울특별시 종로구 묘동 200번지 
1,서울특별시 종로구 창신동 465번지 
1,서울특별시 종로구 종로5가 245 
1,서울특별시 종로구 장사동 9-3번지 
1,서울특별시 종로구 효제동 247-2번지 
1,서울특별시 종로구 숭인동 298-2 
1,서울특별시 종로구 종로5가 214-6번지 지상2층 
1,서울특별시 종로구 청진동 88번지 지상2층 
1,서울특별시 종로구 돈의동 125-1번지 지하1층 
