영업상태코드,주소
1,서울특별시 강동구 길동 454-2
1,서울특별시 종로구 낙원동 179번지  (지상2층) 
1,서울특별시 종로구 낙원동 206번지 지상3층 
1,서울특별시 종로구 관철동 7-11 
1,서울특별시 종로구 종로5가 38-2
1,서울특별시 은평구 대조동 185-10 (지층)
1,서울특별시 종로구 낙원동 235-5
1,서울특별시 종로구 견지동 110-7번지 
1,서울특별시 종로구 낙원동 176번지 지상2층 
1,서울특별시 종로구 인사동 257번지 
1,서울특별시 종로구 익선동 56-3번지 
1,서울특별시 종로구 돈의동 90 2층 
1,서울특별시 종로구 낙원동 144-1 지상2층
1,서울특별시 종로구 인사동 37번지 지하1층 
1,서울특별시 종로구 낙원동 188-0번지  동  호
1,서울특별시 종로구 인사동 188-4번지 지하동 1층호
1,서울특별시 종로구 인의동 28-4번지 
1,서울특별시 종로구 종로5가 493-1번지 
1,서울특별시 종로구 낙원동 173-1
1,서울특별시 종로구 익선동 57 지1층
1,"서울특별시 종로구 낙원동 243-8번지 9,10 "
1,서울특별시 종로구 낙원동 221-0번지 
1,서울특별시 종로구 종로2가 12번지 지하1층 
1,서울특별시 종로구 창신동 290번지 (B1층) 
1,서울특별시 종로구 창신동 328-3번지 (2층) 
1,서울특별시 종로구 돈의동 43-5번지 
1,서울특별시 종로구 종로5가 225-6 (지하1층)
1,서울특별시 종로구 인사동 16-2번지 
1,서울특별시 종로구 연지동 1-24번지 외 1 
1,서울특별시 종로구 묘동 149-1번지 
1,서울특별시 종로구 와룡동 74 지하1층
1,서울특별시 종로구 낙원동 59-5번지 
1,서울특별시 종로구 예지동 184-1번지 
1,"서울특별시 송파구 가락동 77-7 지상2층 201, 202호"
1,서울특별시 종로구 익선동 103-0번지 
1,서울특별시 종로구 낙원동 218-1번지  (3층) 
1,서울특별시 성북구 동선동1가 4-10
1,서울특별시 종로구 낙원동 127-3번지 
1,서울특별시 종로구 묘동 148-1번지 지하1층 
1,서울특별시 종로구 종로6가 242-1번지 한덕빌딩 지하1층 08호
1,서울특별시 종로구 종로5가 116번지 지하1층 
1,서울특별시 종로구 숭인동 1418 지하 1층
1,서울특별시 종로구 관수동 159-2 (지하1층)
1,서울특별시 종로구 낙원동 121-1 
1,서울특별시 종로구 신문로1가 31-0번지 
1,서울특별시 종로구 돈의동 46-1번지 
1,서울특별시 종로구 관철동 18-13 지상5층 
1,서울특별시 종로구 낙원동 243-3번지 (지하1층) 
1,서울특별시 종로구 신문로2가 1-402번지 
1,서울특별시 종로구 낙원동 90-0번지 
1,서울특별시 종로구 낙원동 213-4번지 지상2층 
1,서울특별시 종로구 재동 107-1 
1,서울특별시 종로구 구기동 62-1번지 
1,서울특별시 종로구 돈의동 44-1 지하1층
1,서울특별시 종로구 익선동 137-2번지 
1,서울특별시 종로구 낙원동 110-0번지 
1,서울특별시 종로구 당주동 23-6번지 
1,서울특별시 종로구 낙원동 213-4번지 지상3층 
1,서울특별시 종로구 창신동 207 지하1층
1,서울특별시 종로구 충신동 136-7번지 
1,서울특별시 종로구 구기동 58-1번지 
1,서울특별시 종로구 종로5가 182-22번지 
1,서울특별시 종로구 당주동 41-0번지 지하동 1층호
1,"서울특별시 종로구 와룡동 88-0번지 89-1,90-3 "
1,서울특별시 종로구 효제동 22-3 
1,서울특별시 종로구 숭인동 310번지 외 3필지(지하1층) 
1,서울특별시 종로구 낙원동 65-1 (지상2층)
1,서울특별시 종로구 낙원동 141번지 
1,서울특별시 종로구 당주동 18번지 
1,서울특별시 중구 장충동2가 7-1번지 
1,서울특별시 중구 태평로2가 331-0번지 
1,서울특별시 중구 신당동 370-29 
1,서울특별시 중구 신당동 110-10 
1,서울특별시 중구 무학동 32-1번지 
1,서울특별시 중구 장충동2가 186-38번지 
1,서울특별시 중구 신당동 292-149 지하1층 
1,서울특별시 중구 신당동 374-15번지 
1,서울특별시 중구 회현동1가 65 렉스호텔 지하1층
1,서울특별시 중구 신당동 340-77
1,서울특별시 중구 신당동 292-152
1,"서울특별시 중구 저동2가 78번지 지하1층(B102,103,104) "
1,서울특별시 중구 황학동 2487-0번지 
1,서울특별시 중구 광희동1가 142-0 
1,서울특별시 중구 북창동 120-3번지 1층 
1,서울특별시 강남구 역삼동 788-12
1,서울특별시 중구 을지로1가 32번지 지하2층 
1,서울특별시 중구 황학동 30-1번지 
1,서울특별시 중구 황학동 1-0번지 
1,서울특별시 중구 무학동 33-0번지 
1,서울특별시 중구 북창동 10-4번지 삼흥빌딩 지하1층 
1,서울특별시 중구 충무로4가 132-5 
1,서울특별시 중구 을지로5가 274-1번지 274-20 
1,서울특별시 중구 흥인동 96번지 
1,서울특별시 중구 인현동1가 141-2번지 호운빌딩 
1,서울특별시 중구 충무로3가 56-1 2층 
1,서울특별시 중구 을지로2가 101-28 3층 
1,서울특별시 중구 신당동 100-3번지 2층 
1,서울특별시 중구 광희동1가 189-1번지 2층 
1,서울특별시 중구 오장동 139-11번지 지하1층 
1,서울특별시 중구 중림동 128-33번지 
1,서울특별시 중구 무학동 22-0번지 
1,서울특별시 중구 서소문동 57-7 지하1층
1,서울특별시 중구 황학동 710
1,서울특별시 중구 황학동 2491-0 (지하1층)
1,서울특별시 중구 신당동 131-11 
1,서울특별시 중구 충무로2가 65-13번지 
1,서울특별시 중구 황학동 641-0번지 
1,서울특별시 중구 초동 19-4번지 
1,서울특별시 중구 황학동 2484-0번지 (지하1층) 
1,서울특별시 중구 신당동 247-2 (지하1층) 
1,서울특별시 중구 황학동 2492번지 (지하1층) 
1,서울특별시 중구 무학동 65번지 지하1층 
1,서울특별시 중구 신당동 142-1 지하1층
1,서울특별시 중구 초동 37-1
1,서울특별시 관악구 봉천동 858-7
1,서울특별시 중구 초동 21-12
1,서울특별시 용산구 동자동 43-24번지 (지상2층) 
1,서울특별시 용산구 신계동 25-10번지 (지하1층) 
1,서울특별시 용산구 원효로2가 2-3번지 (지하1층) 
1,서울특별시 용산구 보광동 71-10번지 지하1층 
1,서울특별시 용산구 한남동 642-1번지 지하1층 
1,서울특별시 용산구 원효로3가 39-0번지 (지하1층) 
1,서울특별시 용산구 이태원동 131-36 지하1층 
1,서울특별시 용산구 청파동2가 82-2번지 (지상2층) 
1,서울특별시 용산구 한강로2가 116-5번지 (지상2층) 
1,서울특별시 용산구 원효로3가 51-37번지 e테크밸리 (지하1층) 
1,서울특별시 용산구 한남동 638-5번지 (지하1층) 
1,서울특별시 용산구 한남동 642-1번지 지상2층 
1,서울특별시 용산구 한강로2가 225-1번지 (지하1층) 
1,서울특별시 용산구 한남동 642-15번지 지하1층 
1,서울특별시 용산구 이태원동 36-25번지 지하1층호
1,서울특별시 용산구 한남동 657-70번지 지하1층 
1,서울특별시 용산구 이촌동 302-65번지 
1,서울특별시 용산구 한남동 739-14번지 (지상2층) 
1,서울특별시 용산구 이태원동 131-3 (지하1층)
1,서울특별시 용산구 한남동 657-160
1,서울특별시 용산구 청파동3가 24-24 (지층)
1,서울특별시 용산구 한남동 639-8번지 (지하1층) 
1,서울특별시 용산구 보광동 217-10번지 (지하1층) 
1,서울특별시 용산구 원효로2가 83-2번지 (지하1층) 
1,서울특별시 용산구 한남동 76-42번지 (지하1층) 
1,서울특별시 용산구 원효로3가 32-3번지 지하1층 
1,서울특별시 용산구 이태원동 130-34번지 (지상5층) 
1,서울특별시 용산구 동빙고동 7-22번지 (지층) 
1,서울특별시 용산구 한남동 736-19번지 (지하1층) 
1,서울특별시 용산구 한강로2가 2-36번지 (지상2층) 
1,서울특별시 용산구 한강로2가 222-5번지 (지상3층) 
1,서울특별시 용산구 한강로3가 98-3번지 (지하1층) 
1,서울특별시 용산구 한강로3가 40-137번지 지하1층 
1,서울특별시 용산구 동빙고동 7-19번지 (지하1층) 
1,서울특별시 용산구 한강로2가 199-1번지 (지하1층) 
1,서울특별시 용산구 한남동 657-201 지하
1,서울특별시 용산구 한남동 32-17번지 (지상2층) 
1,서울특별시 용산구 한남동 627-5번지 (지층) 
1,서울특별시 용산구 이태원동 128-15번지 (지하1층) 
1,서울특별시 용산구 한강로3가 63-46번지 (지하1층) 
1,서울특별시 용산구 이태원동 99-11번지 (지하1층) 
1,서울특별시 용산구 한강로3가 63-132번지 (지하1층) 
1,서울특별시 용산구 보광동 260-13번지 (지하1층) 
1,서울특별시 용산구 한남동 28-11번지 (지하1층) 
1,서울특별시 용산구 이태원동 123-5번지 (지하1층) 
1,서울특별시 용산구 용문동 8-24번지 
1,"서울특별시 용산구 서계동 264-15번지 ,14(지층) "
1,서울특별시 용산구 이태원동 126-15 (지상2층)
1,서울특별시 용산구 이촌동 302-46번지 (지하1층) 
1,서울특별시 용산구 한강로1가 243-7번지 지하1층 
1,서울특별시 용산구 한남동 644-5 (지층)
1,서울특별시 용산구 한남동 747-7 (지층)
1,"서울특별시 용산구 이태원동 635번지 ,636,638,639 (지층) "
1,서울특별시 용산구 한남동 739-12번지 (지하1층) 
1,"서울특별시 용산구 남영동 65-1번지 ,2,3(지상2층) "
1,서울특별시 용산구 한남동 28-12번지 (지하1층) 
1,서울특별시 용산구 한강로2가 93-3 (지하1층) 
1,서울특별시 용산구 청파동3가 18-2번지 (지상2층) 
1,서울특별시 용산구 남영동 127-1번지 (지층) 
1,서울특별시 용산구 한남동 657-98번지 
1,서울특별시 용산구 한남동 638-4번지 지하1층 
1,서울특별시 용산구 남영동 18-2 지하1층 
1,서울특별시 용산구 한강로3가 40-454번지 지상2층 
1,서울특별시 용산구 남영동 89-8 지상2층 
1,서울특별시 용산구 갈월동 66-2 지하 1층 
1,서울특별시 용산구 이태원동 36-24번지 (지하1층) 
1,서울특별시 용산구 한강로2가 175-1번지 (지상2층) 
1,서울특별시 용산구 한강로3가 63-52번지 (지하1층) 
1,서울특별시 용산구 한남동 683-105번지 지하1층 
1,서울특별시 용산구 서계동 237-7번지 (지하1층) 
1,서울특별시 용산구 남영동 88-3번지 2층호
1,서울특별시 용산구 이태원동 124-5 (지하1층)
1,서울특별시 용산구 동자동 11-12번지 (지상3층) 
1,서울특별시 성동구 마장동 470-5 (지하1층) 
1,"서울특별시 성동구 금호동1가 1756-1 ,2 가동 지층1호 "
1,"서울특별시 성동구 성수동2가 275-42번지 ,251-80 "
1,서울특별시 성동구 성수동2가 299-13번지 
1,서울특별시 성동구 성수동2가 346-4번지 
1,서울특별시 성동구 도선동 253-5번지 (지상2층) 
1,서울특별시 성동구 도선동 253-3 지상1층
1,서울특별시 성동구 금호동3가 303번지 
1,"서울특별시 성동구 성수동1가 289번지 ,290, 694-68 "
1,서울특별시 성동구 성수동2가 314-6번지 
1,서울특별시 성동구 금호동3가 421번지 
1,서울특별시 성동구 성수동2가 289-177번지 
1,서울특별시 성동구 성수동2가 230-9번지 (지하1층) 
1,서울특별시 성동구 행당동 226-3번지 (지하1층) 
1,서울특별시 성동구 성수동2가 230-8번지 
1,"서울특별시 성동구 용답동 99-2번지 ,3 "
1,서울특별시 성동구 금호동4가 1110-2번지 
1,서울특별시 성동구 도선동 402-0번지 
1,서울특별시 성동구 금호동1가 1756-0번지 
