영업상태코드,주소
1,서울특별시 관악구 신림동 1643
1,서울특별시 중구 광희동1가 145-2
1,서울특별시 구로구 오류동 38-1 204호
1,서울특별시 종로구 종로5가 182-19 (지상1층)
1,서울특별시 용산구 남영동 62-9 (지하1층)
1,서울특별시 관악구 신림동 1431-10
1,서울특별시 서초구 서초동 1303-36번지 (3층~5층) 
1,서울특별시 서초구 잠원동 6-1 리버사이드호텔
1,서울특별시 서초구 반포동 747-14 지하1층
1,서울특별시 서초구 서초동 1308 삼미빌딩 지하1층 2호
1,서울특별시 종로구 관철동 43-12번지 
1,서울특별시 종로구 인사동 35-0번지 
1,서울특별시 종로구 숭인동 207-30번지 지하1층 
1,서울특별시 강남구 신사동 588-21 지하1층
1,서울특별시 종로구 연지동 275-1번지 
1,"서울특별시 강남구 신사동 587-1 선샤인호텔 지하1층,지하중층"
1,서울특별시 종로구 효제동 245-21번지 지상1층 
1,서울특별시 종로구 견지동 110-13번지 
1,서울특별시 종로구 효제동 155번지 지하1층 
1,서울특별시 종로구 돈의동 50 지하1층
1,서울특별시 강남구 삼성동 142-19 지하2층
1,서울특별시 강남구 역삼동 718-9 
1,서울특별시 종로구 창신동 174-1번지 지상2층 
1,서울특별시 종로구 연지동 255번지 지하1층 
1,서울특별시 종로구 종로5가 4-1 지상2층 
1,서울특별시 종로구 종로5가 4-1 1층 
1,서울특별시 강남구 청담동 53-7 지상2층
1,서울특별시 강남구 청담동 132-17
1,서울특별시 종로구 연지동 254-1 지하1층
1,서울특별시 종로구 종로4가 8 2층 
1,서울특별시 강남구 논현동 204-4 지상1층
1,서울특별시 강남구 역삼동 831-42 .43호
1,서울특별시 종로구 종로4가 8번지 2층 
1,서울특별시 강남구 대치동 890-61 지상4층 
1,서울특별시 종로구 돈의동 50번지 1층 
1,서울특별시 종로구 종로3가 157
1,서울특별시 종로구 창신동 446-5번지 2층 
1,서울특별시 강남구 논현동 18-2 렉스관광호텔
1,서울특별시 종로구 원남동 177-1번지 지하층 
1,"서울특별시 종로구 관철동 32-4번지 지하 1층(관철동 32-4,7) "
1,서울특별시 종로구 창신동 293-5번지 
1,서울특별시 종로구 연지동 246 지하 1층 
1,서울특별시 종로구 종로5가 20-1번지 지하1층 
1,서울특별시 종로구 종로5가 65번지 
1,서울특별시 종로구 당주동 18번지 지상3층 
1,서울특별시 강동구 성내동 417-5
1,서울특별시 강동구 길동 459-2
1,서울특별시 종로구 청진동 183-1번지 지하1층 
1,서울특별시 종로구 종로5가 77-0번지 
1,서울특별시 종로구 평창동 66-50번지 동화킴스관광호텔 지하1층 
1,서울특별시 종로구 창신동 378번지 2층 
1,서울특별시 종로구 종로5가 231-20번지 (3층) 
1,서울특별시 종로구 창신동 436-73번지 (지하1층) 
1,서울특별시 강동구 길동 386-8
1,서울특별시 종로구 종로5가 54번지 (지상1층) 
1,서울특별시 종로구 종로6가 124-1번지 (지상2층) 
1,서울특별시 종로구 낙원동 121-1
1,서울특별시 종로구 종로5가 244 지상2층
1,서울특별시 종로구 종로5가 332-7번지 지상2층 
1,서울특별시 종로구 원남동 282 지하1층
1,서울특별시 종로구 장사동 2번지 
1,서울특별시 종로구 종로6가 244-15번지 (지상3층) 
1,서울특별시 종로구 종로5가 38-1번지 지상2층 
1,서울특별시 종로구 효제동 186번지 
1,서울특별시 종로구 종로6가 123-1번지 
1,서울특별시 종로구 낙원동 148  (지하1층) 
1,서울특별시 종로구 공평동 60번지 
1,서울특별시 종로구 관수동 12-0번지 
1,서울특별시 종로구 종로5가 113번지 
1,서울특별시 종로구 낙원동 25번지  (지하1층) 
1,서울특별시 종로구 종로5가 231-20번지 (지상1~2층) 
1,서울특별시 종로구 종로5가 104-9번지 
1,서울특별시 종로구 도렴동 117-1번지 (지상 3층) 
1,서울특별시 종로구 효제동 202번지 지상1층 
1,서울특별시 종로구 연지동 273 1층 
1,서울특별시 종로구 관철동 22-0번지 
1,서울특별시 종로구 종로6가 137-2 지하1층
1,서울특별시 종로구 종로6가 157-0번지 
1,서울특별시 종로구 교남동 46-0번지 지하1층 
1,서울특별시 종로구 종로5가 40번지 1층 
1,서울특별시 종로구 수송동 58번지 두산위브파빌리온 지하 112호
1,"서울특별시 종로구 종로1가 24번지 르메이에르종로타운 지하2층 B203-1,B203-2 "
1,서울특별시 종로구 인사동 262번지 (지상1층) 
1,서울특별시 종로구 숭인동 201-20번지 지하1층 
1,서울특별시 종로구 숭인동 201-28 지하 1층 
1,서울특별시 종로구 종로5가 246-5번지 
1,서울특별시 종로구 숭인동 1413번지 지하1층 
1,서울특별시 종로구 낙원동 93번지 
1,서울특별시 종로구 청진동 26번지 
1,서울특별시 종로구 묘동 200번지 
1,서울특별시 종로구 창신동 465번지 
1,서울특별시 종로구 종로5가 245 
1,서울특별시 종로구 장사동 9-3번지 
1,서울특별시 종로구 효제동 247-2번지 
1,서울특별시 종로구 숭인동 298-2 
1,서울특별시 종로구 종로5가 214-6번지 지상2층 
1,서울특별시 종로구 청진동 88번지 지상2층 
1,서울특별시 종로구 돈의동 125-1번지 지하1층 
1,서울특별시 종로구 관철동 10-23번지 
1,서울특별시 종로구 충신동 57-4번지 
1,서울특별시 종로구 숭인동 317-20번지 지하1층 
1,서울특별시 종로구 낙원동 193번지 
1,서울특별시 종로구 낙원동 198 
1,서울특별시 종로구 장사동 130-1번지 
1,서울특별시 종로구 종로1가 24 르메이에르 종로타운 비223호
1,서울특별시 종로구 종로5가 42-1 메디칼라움빌딩 
1,"서울특별시 종로구 당주동 2-2번지 지하1,2층 "
1,서울특별시 종로구 종로5가 231-22번지 
1,서울특별시 종로구 종로5가 231-22번지 (지상1~2층) 
1,서울특별시 종로구 종로5가 115번지 
1,서울특별시 종로구 숭인동 316-2번지 
1,서울특별시 종로구 관철동 18-13번지 (지상3층) 
1,서울특별시 종로구 교북동 12-19번지 
1,"서울특별시 종로구 종로5가 503-15번지 16,27,28 "
1,서울특별시 종로구 낙원동 225-0번지 지하1층 
1,서울특별시 종로구 종로2가 8-4번지 
1,서울특별시 종로구 낙원동 93번지 
1,서울특별시 종로구 관훈동 198-8번지 지하1층 
1,서울특별시 종로구 종로5가 231-16번지 
1,서울특별시 종로구 숭인동 201-25번지 (지하1층) 
1,서울특별시 종로구 종로5가 231-16번지 지상1층 
1,서울특별시 종로구 관철동 11-24번지 
1,서울특별시 종로구 낙원동 179 (지하1층)
1,서울특별시 종로구 청진동 11-6번지 
1,서울특별시 종로구 창신동 464-4  (지상2층) 
1,서울특별시 종로구 효제동 318-1번지 
1,서울특별시 종로구 종로5가 231-22번지 지상1~2층 
1,서울특별시 종로구 숭인동 252번지 
1,서울특별시 종로구 돈의동 128-2 
1,서울특별시 종로구 운니동 20 지하1층 
1,서울특별시 종로구 교남동 34번지 지하1층 
1,서울특별시 종로구 청진동 6번지 지하1층 
1,서울특별시 종로구 관수동 3-5번지 
1,서울특별시 종로구 당주동 2-3번지 외 2필지(지하1층) 
1,서울특별시 종로구 낙원동 207번지 
1,서울특별시 종로구 관수동 20-0번지 
1,서울특별시 종로구 창신동 459-25번지 
1,서울특별시 종로구 낙원동 173-1 지하1층
1,서울특별시 종로구 종로6가 246-1번지 
1,서울특별시 종로구 창신동 438-16 덕일빌딩 
1,서울특별시 종로구 관철동 19-16 
1,서울특별시 종로구 효제동 175-1번지 지하1층 
1,서울특별시 종로구 당주동 42-2번지 
1,서울특별시 종로구 연지동 206번지 지하1층 
1,서울특별시 종로구 종로5가 231-19번지 
1,서울특별시 종로구 당주동 160-0
1,서울특별시 종로구 당주동 100번지 
1,서울특별시 종로구 낙원동 58-1번지 종로오피스텔 지하 1층 117호 
1,서울특별시 종로구 당주동 171-0번지 지하1층 
1,서울특별시 종로구 청진동 140-0번지 
1,서울특별시 종로구 청진동 296-1번지 지하1층 
1,서울특별시 종로구 종로5가 321-18번지  동  호
1,서울특별시 종로구 종로5가 231-15번지 
1,서울특별시 종로구 효제동 233-1번지 
