영업상태코드,지역구
1,서울특별시 강서구 화곡동 997-1 (지하 1층)
3,서울특별시 영등포구 당산동3가 166-0
1,서울특별시 강남구 역삼동 705-15
3,서울특별시 강남구 삼성동 53-0
3,서울특별시 중구 다동 192-1번지 2 
3,"서울특별시 광진구 능동 237-2번지 ,11 "
1,서울특별시 강남구 논현동 63-22
3,서울특별시 광진구 구의동 212-17번지 
1,서울특별시 송파구 방이동 71-13 지하1층
3,서울특별시 광진구 광장동 530-37번지 
1,서울특별시 송파구 삼전동 102-9
3,서울특별시 마포구 망원동 373-5번지 
3,서울특별시 마포구 아현동 346-30번지 
3,서울특별시 마포구 마포동 33-1번지 대농지하동 117호
3,서울특별시 마포구 동교동 198-27번지 지층 
3,서울특별시 마포구 노고산동 56-25번지 
1,서울특별시 송파구 방이동 224-11 지하1층
3,서울특별시 마포구 아현동 437-3번지 
3,서울특별시 마포구 신공덕동 124-3번지 
1,서울특별시 송파구 거여동 26-3 지하1층
3,서울특별시 마포구 서교동 448-2번지 
3,서울특별시 마포구 서교동 408-7번지 
1,서울특별시 송파구 방이동 98-7 지하1층
1,서울특별시 송파구 방이동 159-16번지 지하1층 
3,서울특별시 마포구 도화동 51-1번지 성우빌당지하동 2호
3,"서울특별시 영등포구 여의도동 35-5번지 종합상가223,224호 "
3,서울특별시 서초구 방배동 752-16번지 
3,서울특별시 강남구 삼성동 37-1번지 
1,서울특별시 종로구 낙원동 150-1번지 
1,서울특별시 종로구 구기동 85-9
1,서울특별시 강동구 명일동 324-1
1,서울특별시 종로구 숭인동 318-9 지하1층 
1,서울특별시 강동구 성내동 447-9
1,서울특별시 종로구 공평동 60번지 
3,서울특별시 강동구 천호동 327-45번지 
3,서울특별시 강동구 천호동 413-1번지 
1,서울특별시 강동구 길동 454-2
1,서울특별시 종로구 낙원동 179번지  (지상2층) 
1,서울특별시 종로구 낙원동 206번지 지상3층 
1,서울특별시 종로구 관철동 7-11 
1,서울특별시 종로구 종로5가 38-2
1,서울특별시 은평구 대조동 185-10 (지층)
1,서울특별시 종로구 낙원동 235-5
1,서울특별시 종로구 견지동 110-7번지 
1,서울특별시 종로구 낙원동 176번지 지상2층 
1,서울특별시 종로구 인사동 257번지 
1,서울특별시 종로구 익선동 56-3번지 
1,서울특별시 종로구 돈의동 90 2층 
1,서울특별시 종로구 낙원동 144-1 지상2층
1,서울특별시 종로구 인사동 37번지 지하1층 
1,서울특별시 종로구 낙원동 188-0번지  동  호
1,서울특별시 종로구 인사동 188-4번지 지하동 1층호
1,서울특별시 종로구 인의동 28-4번지 
1,서울특별시 종로구 종로5가 493-1번지 
1,서울특별시 종로구 낙원동 173-1
1,서울특별시 종로구 익선동 57 지1층
3,서울특별시 종로구 중학동 110-7
1,"서울특별시 종로구 낙원동 243-8번지 9,10 "
1,서울특별시 종로구 낙원동 221-0번지 
1,서울특별시 종로구 종로2가 12번지 지하1층 
1,서울특별시 종로구 창신동 290번지 (B1층) 
1,서울특별시 종로구 창신동 328-3번지 (2층) 
1,서울특별시 종로구 돈의동 43-5번지 
3,서울특별시 종로구 당주동 3-2
1,서울특별시 종로구 종로5가 225-6 (지하1층)
1,서울특별시 종로구 인사동 16-2번지 
