사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,lat(위도),lon(경도)
2017080900100385.0,2017년 8월 9일 16시,수요일,서울특별시 노원구 중계동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,45세,상해없음,보행자,여,12세,경상,37.61272359938168,127.07801759671688
2017080900100491.0,2017년 8월 9일 19시,수요일,서울특별시 강남구 삼성동,중상사고,0.0,1.0,0.0,0.0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,37세,상해없음,보행자,여,9세,중상,37.64777787694821,127.0758242479161
2017081000100521.0,2017년 8월 10일 19시,목요일,서울특별시 강남구 역삼동,경상사고,0.0,0.0,2.0,0.0,차대사람 - 기타,중앙선침범,젖음/습기,맑음,단일로 - 기타,화물,남,68세,상해없음,보행자,여,8세,경상,37.51605605770565,127.0470026843434
2017081100100464.0,2017년 8월 11일 17시,금요일,서울특별시 성북구 동선동1가,경상사고,0.0,0.0,1.0,0.0,차대사람 - 보도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,24세,상해없음,보행자,남,8세,경상,37.49697057579334,127.0460319543482
2017081100100510.0,2017년 8월 11일 18시,금요일,서울특별시 중랑구 중화동,중상사고,0.0,1.0,0.0,0.0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,43세,상해없음,보행자,여,3세,중상,37.59141589447256,127.01912311729308
2017081200100308.0,2017년 8월 12일 13시,토요일,서울특별시 은평구 진관동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,61세,상해없음,보행자,남,2세,경상,37.59758537083736,127.08177343122598
2017081200100563.0,2017년 8월 12일 22시,토요일,서울특별시 금천구 독산동,중상사고,0.0,1.0,0.0,0.0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,43세,상해없음,보행자,남,1세,중상,37.60023997118306,126.91893351388671
2017081300100251.0,2017년 8월 13일 15시,일요일,서울특별시 성북구 하월곡동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,57세,상해없음,보행자,남,5세,경상,37.468630802461696,126.9056144575102
2017081400100251.0,2017년 8월 14일 12시,월요일,서울특별시 성북구 정릉동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,39세,상해없음,보행자,남,11세,경상,37.60296641910779,127.03367446675608
2017081400100459.0,2017년 8월 14일 17시,월요일,서울특별시 강남구 신사동,중상사고,0.0,1.0,2.0,0.0,차대사람 - 횡단중,기타,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,보행자,남,29세,경상,37.59902987999174,127.0185416842369
