사고부문,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
노인운전자사고,2020041600100197,2020년 4월 16일 13시,목요일,부산광역시 금정구 부곡동,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,71세,상해없음,승용,여,28세,중상
노인운전자사고,2020041700100035,2020년 4월 17일 04시,금요일,부산광역시 부산진구 전포동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,기타,교차로 - 교차로안,승용,남,70세,기타불명,승용,남,47세,경상
노인운전자사고,2020041700100247,2020년 4월 17일 14시,금요일,부산광역시 사상구 감전동,중상사고,0,2,2,0,차대차 - 정면충돌,중앙선침범,젖음/습기,비,단일로 - 기타,승용,남,72세,경상,승용,여,54세,중상
노인운전자사고,2020041700100311,2020년 4월 17일 16시,금요일,부산광역시 강서구 범방동,중상사고,0,1,1,0,차대차 - 추돌,중앙선침범,젖음/습기,비,단일로 - 기타,승용,남,78세,상해없음,화물,남,56세,중상
노인운전자사고,2020041700100342,2020년 4월 17일 17시,금요일,부산광역시 북구 구포동,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,젖음/습기,비,단일로 - 지하차도(도로)내,화물,남,65세,상해없음,승용,여,28세,경상
노인운전자사고,2020041700100345,2020년 4월 17일 17시,금요일,부산광역시 사상구 엄궁동,경상사고,0,0,2,0,차대차 - 기타,차로위반,건조,맑음,교차로 - 교차로부근,승용,남,67세,상해없음,승합,남,55세,상해없음
노인운전자사고,2020041700100405,2020년 4월 17일 19시,금요일,부산광역시 서구 서대신동2가,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,젖음/습기,비,단일로 - 기타,화물,남,71세,상해없음,승용,남,50세,경상
노인운전자사고,2020041800100101,2020년 4월 18일 08시,토요일,부산광역시 수영구 수영동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,여,69세,기타불명,자전거,남,48세,부상신고
노인운전자사고,2020041800100345,2020년 4월 18일 16시,토요일,부산광역시 사상구 감전동,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,이륜,남,76세,중상,건설기계,남,51세,상해없음
노인운전자사고,2020041900100261,2020년 4월 19일 18시,일요일,부산광역시 남구 문현동,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,젖음/습기,비,단일로 - 기타,화물,남,72세,경상,화물,남,60세,경상
노인운전자사고,2.02004E+15,2020년 4월 20일 11시,월요일,부산광역시 금정구 금사동,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,이륜,남,81세,상해없음,승용,남,39세,경상
노인운전자사고,2020042000100328,2020년 4월 20일 16시,월요일,부산광역시 서구 아미동2가,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,남,65세,상해없음,이륜,남,22세,경상
