사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,고속도로명
2022100500100026,2022년 10월 5일 03시,수요일,경기도 화성시 비봉면,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,남,34세,경상,서해안고속도로
2022100600100296,2022년 10월 6일 14시,목요일,경기도 안양시 만안구 박달동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 교량,화물,남,43세,상해없음,화물,남,46세,중상,서해안고속도로
2022100600100495,2022년 10월 6일 19시,목요일,경기도 화성시 비봉면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,59세,상해없음,승용,남,49세,경상,서해안고속도로
2022100700100272,2022년 10월 7일 12시,금요일,충청남도 서산시 해미면,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,61세,상해없음,보행자,남,63세,경상,서해안고속도로
2022100700100660,2022년 10월 7일 21시,금요일,경기도 안산시 상록구 장하동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,42세,상해없음,승용,여,22세,경상,서해안고속도로
2022100800100265,2022년 10월 8일 12시,토요일,전라남도 함평군 함평읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,화물,남,57세,경상,승용,남,67세,경상,서해안고속도로
2022100800100431,2022년 10월 8일 16시,토요일,경기도 안양시 만안구 박달동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 교량,승용,여,33세,상해없음,승용,여,61세,경상,서해안고속도로
2022101100100433,2022년 10월 11일 16시,화요일,경기도 평택시 포승읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,46세,상해없음,승용,여,50세,경상,서해안고속도로
2022101200100284,2022년 10월 12일 13시,수요일,경기도 평택시 청북읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,60세,기타불명,화물,남,57세,경상,서해안고속도로
2022101400100068,2022년 10월 14일 07시,금요일,경기도 평택시 포승읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,기타 - 기타,화물,남,56세,상해없음,승용,남,28세,경상,서해안고속도로
2022101400100268,2022년 10월 14일 13시,금요일,경기도 화성시 매송면,중상사고,0,2,0,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,승용,여,33세,중상,서해안고속도로
2022101400100353,2022년 10월 14일 15시,금요일,경기도 화성시 향남읍,경상사고,0,0,1,2,차대차 - 추돌,안전거리미확보,건조,맑음,기타 - 기타,승용,남,35세,상해없음,승용,남,53세,경상,서해안고속도로
2022101500100052,2022년 10월 15일 06시,토요일,경기도 안산시 상록구 부곡동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,66세,경상,화물,남,62세,경상,서해안고속도로
2022101500100308,2022년 10월 15일 14시,토요일,경기도 안산시 상록구 장하동,경상사고,0,0,3,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 교량,승용,남,77세,상해없음,승용,여,55세,경상,서해안고속도로
2022101500100351,2022년 10월 15일 15시,토요일,경기도 안양시 만안구 박달동,중상사고,0,1,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 교량,승용,여,55세,중상,승용,남,51세,경상,서해안고속도로
2022101600100129,2022년 10월 16일 10시,일요일,경기도 안산시 상록구 장하동,경상사고,0,0,5,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,55세,상해없음,승용,여,31세,경상,서해안고속도로
2022101600100218,2022년 10월 16일 13시,일요일,경기도 안산시 상록구 장하동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,50세,상해없음,승용,남,35세,경상,서해안고속도로
